p,corr_YZ,corr_YU,perturb_level_YU,perturb_level_YZ,train_n,test_n,van_w_f,van_w_g,strat_w_f,strat_w_g,van_train_loss,van_test_loss,van_test_acc,strat_train_loss,strat_test_loss,strat_test_acc
0.0,-0.7267645810228549,-0.6408164867888326,-3,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[-0.030543642730663692, 0.20565685042378623, 0.2930160151136027]","[0.0, 0.0, 0.0, 0.0]","[-0.031284213999636754, 0.2060037615366331, 0.29377242522085417]",0.6517292201187058,0.6469562310938293,0.65,0.6517290623410369,0.64692118148367,0.65
0.0,-0.7238613995894232,-0.4578309934766416,-2,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.07642775042952339, 0.1689765730212922, 0.2798080090903673]","[0.0, 0.0, 0.0, 0.0]","[0.0763425477088177, 0.1692054080330611, 0.2803694155363569]",0.6539923733895631,0.6577360752723519,0.608,0.6539922787781125,0.6577322206673195,0.608
0.0,-0.7195066274392754,-0.17893300748456803,-1,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.2519941538483903, 0.12627139864048323, 0.2697400446790857]","[0.0, 0.0, 0.0, 0.0]","[0.2529121883078573, 0.12641513449661404, 0.26999450836626077]",0.6461747413869325,0.6603833966941918,0.572,0.6461745823354645,0.6604222267015628,0.572
0.0,-0.7129744692140539,0.2498071878970114,0,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.5557234620693621, 0.09191239252198892, 0.21274159052150582]","[0.0, 0.0, 0.0, 0.0]","[0.5585342977150463, 0.09204091511956042, 0.21239741621009628]",0.6205067837497615,0.644534851112553,0.632,0.6205060335134552,0.644656758563963,0.632
0.0,-0.7093176516332385,0.4955311352458459,1,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.730823130714527, 0.08966820581946418, 0.2036588705333726]","[0.0, 0.0, 0.0, 0.0]","[0.7348829920338623, 0.08991539162912314, 0.2030208573377248]",0.5933305959019661,0.635903369865339,0.662,0.5933291665384411,0.6360863240520009,0.662
0.0,-0.7068797732460281,0.661719132291616,2,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.8563255889404231, 0.0658191755553804, 0.16421581768159235]","[0.0, 0.0, 0.0, 0.0]","[0.8614322124430982, 0.06612720124470613, 0.16325371564183658]",0.5785971059560455,0.6117242102326766,0.696,0.5785949889372395,0.6119071327658753,0.696
0.0,-0.7052545209878878,0.773592691760842,3,-3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.940519571640068, 0.019579091522716408, 0.1481592358242754]","[0.0, 0.0, 0.0, 0.0]","[0.9464651594319029, 0.019698185628468194, 0.14692424024866474]",0.5640749039326445,0.601995210764173,0.708,0.5640721992416033,0.602200519757441,0.708
0.0,-0.5901468715342824,-0.6364527105107198,-3,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.08854375964822897, 0.2186479155096425, 0.1366654197458811]","[0.0, 0.0, 0.0, 0.0]","[0.08871366990237343, 0.21894922581952672, 0.13683449672157208]",0.6643165634905343,0.6640408366545633,0.608,0.6643165114777027,0.6640410012729044,0.61
0.0,-0.5857920993841347,-0.45199979994507383,-2,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.19355895316308733, 0.19210041283966467, 0.13215225292280136]","[0.0, 0.0, 0.0, 0.0]","[0.19427287964016618, 0.19232370644458588, 0.13222299206938207]",0.6635132160121484,0.6723435937722914,0.61,0.6635131208025262,0.672370547452271,0.61
0.0,-0.579259941158913,-0.17183116091993111,-1,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.3549387338933857, 0.16653068341870342, 0.12158613909437324]","[0.0, 0.0, 0.0, 0.0]","[0.3564855319671042, 0.16671298490521377, 0.12148716626933603]",0.6558758334709414,0.674337746024736,0.604,0.6558755498182728,0.6744016119949954,0.604
0.0,-0.5694617038210809,0.25662696845473243,0,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.6178848479546575, 0.12067993536254414, 0.09717538707300755]","[0.0, 0.0, 0.0, 0.0]","[0.6209684134621238, 0.120786008727601, 0.09671714692368254]",0.6311835465755284,0.65916867370275,0.63,0.6311826099385092,0.6592845684335994,0.63
0.0,-0.5639764774498577,0.5009914079023257,1,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.7906366821035212, 0.12625524475335392, 0.08002089280018118]","[0.0, 0.0, 0.0, 0.0]","[0.7949267642096101, 0.1264766616207404, 0.07928718995191973]",0.6060893836740338,0.6504494290804648,0.654,0.6060877035853655,0.6506456867859699,0.654
0.0,-0.5603196598690421,0.665773691158521,2,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.9095847342757647, 0.13741228194825747, 0.059134662915178236]","[0.0, 0.0, 0.0, 0.0]","[0.9148703048685366, 0.13788986380431076, 0.058151810707930345]",0.5888403016014757,0.629312200230216,0.682,0.5888378950786817,0.629528412146936,0.682
0.0,-0.5578817814818319,0.7764824109563723,3,-2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.9598673184592106, 0.10103815563214731, 0.051743907434917503]","[0.0, 0.0, 0.0, 0.0]","[0.9656284519369204, 0.10148140756990295, 0.050613122830401834]",0.581751533671642,0.6157318513692065,0.698,0.5817487769566222,0.615918059750544,0.698
0.0,-0.3852203073014235,-0.6299070460935505,-3,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.18301599569964566, 0.20441967022364257, 0.019538057832794962]","[0.0, 0.0, 0.0, 0.0]","[0.18371005647294156, 0.20462476625652687, 0.01948936808348144]",0.6694737791112801,0.6782782925459511,0.594,0.6694736951160326,0.6783048779739759,0.592
0.0,-0.3786881490762021,-0.4432530096477222,-2,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.28476263479037645, 0.1847312816813543, 0.02790364220997787]","[0.0, 0.0, 0.0, 0.0]","[0.28594496229436384, 0.18487080114999963, 0.027820121289503435]",0.665896315891597,0.6804291883697637,0.594,0.6658961358381872,0.6804749102834562,0.594
0.0,-0.3688899117383697,-0.16117839107297552,-1,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.41184211191207715, 0.14452807835348358, 0.03509782869902188]","[0.0, 0.0, 0.0, 0.0]","[0.41365315297964295, 0.1445918167666496, 0.03493317375518051]",0.6607218985497658,0.6809824710607859,0.588,0.6607215239290594,0.6810512927140653,0.588
0.0,-0.3541925557316214,0.2668566392913141,0,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.6291089665689391, 0.12964532043834137, 0.014582510986231794]","[0.0, 0.0, 0.0, 0.0]","[0.6321136608219342, 0.12970854830127063, 0.014191515365576512]",0.6384324695443451,0.6623486660269462,0.626,0.6384315233226356,0.6624481991421463,0.626
0.0,-0.3459647161747865,0.509181816887045,1,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.773041257278117, 0.14004819021234896, 0.01065393952847233]","[0.0, 0.0, 0.0, 0.0]","[0.7770208571821235, 0.14020757160429323, 0.01004243814939624]",0.617455350904667,0.6530890404904298,0.648,0.6174538052644118,0.6532268501662499,0.648
0.0,-0.3404794898035631,0.671855529458879,2,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.8714606753571196, 0.19487563785240936, 0.012536496606739361]","[0.0, 0.0, 0.0, 0.0]","[0.8762324743696877, 0.19545855712365778, 0.01180756178965726]",0.5997913321033831,0.6462932429786267,0.668,0.5997892016003604,0.6464782833348104,0.668
0.0,-0.33682267222274764,0.7808169897496677,3,-1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.9643531502068444, 0.21088939666359494, -0.010743148533147591]","[0.0, 0.0, 0.0, 0.0]","[0.9700647372514478, 0.21177683621883556, -0.011750055576307554]",0.5870165543817915,0.6370105882211715,0.682,0.5870137032105971,0.6372410426046652,0.682
0.0,-0.0778304609521353,-0.6200885494677966,-3,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.26861333428964734, 0.1677568819916731, -0.09300641488299012]","[0.0, 0.0, 0.0, 0.0]","[0.26973422629273464, 0.1678304958355926, -0.09315131048468013]",0.6651775203765102,0.6839476190794468,0.562,0.6651773569297121,0.6839996218093088,0.564
0.0,-0.06803222361430307,-0.4301328242016949,-2,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.3438881371648387, 0.1508108312710423, -0.08482738741383077]","[0.0, 0.0, 0.0, 0.0]","[0.345374875769904, 0.15082918486565133, -0.08499648192164821]",0.6626284764309177,0.6808338184001209,0.564,0.6626282122570782,0.6808889066279264,0.566
0.0,-0.05333486760755454,-0.14519923630254233,-1,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.4525745264269826, 0.13498530820292345, -0.08010914004466155]","[0.0, 0.0, 0.0, 0.0]","[0.4545927069566453, 0.13495827427249762, -0.08033670442335439]",0.6555896075306092,0.6772616846383138,0.588,0.6555891435987653,0.6773430431563954,0.588
0.0,-0.03128883359743195,0.2822011455461865,0,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.6227297082669108, 0.15603200335959655, -0.10652015708084497]","[0.0, 0.0, 0.0, 0.0]","[0.6257458041339162, 0.15609754999421926, -0.10699901120751526]",0.6354207069297972,0.6568960991225786,0.64,0.6354197374333408,0.6569864876142046,0.64
0.0,-0.018947074262179592,0.5214674303641242,1,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.7365438871474752, 0.1800373628997694, -0.10300131478525101]","[0.0, 0.0, 0.0, 0.0]","[0.740332757012154, 0.18025289831082833, -0.10364022401285539]",0.6205001294441892,0.6476540820516136,0.648,0.6204986823157623,0.6477803095979051,0.648
0.0,-0.010719234705344693,0.6809782869094161,2,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.8169035108150667, 0.21631517147848267, -0.09985502647354139]","[0.0, 0.0, 0.0, 0.0]","[0.8213495759727729, 0.21677637065272043, -0.10063076872903086]",0.608142421734457,0.6352397225065057,0.664,0.6081405180333382,0.6353537712435768,0.664
0.0,-0.005234008334121409,0.7873188579396108,3,0,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.8763430559185693, 0.245745330531138, -0.10751271352621329]","[0.0, 0.0, 0.0, 0.0]","[0.8813788322803939, 0.24647281942299532, -0.1084361359046858]",0.5990454826309398,0.632609070396149,0.676,0.5990431385011643,0.6327568600829859,0.676
0.0,0.28144635936524315,-0.6086127044134048,-3,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.29863115213189045, 0.1251942394222589, -0.19146096229079929]","[0.0, 0.0, 0.0, 0.0]","[0.2999538782435113, 0.12512844838546824, -0.19163714873236362]",0.6471531386209843,0.663618691268763,0.586,0.6471529283841873,0.6636655211696347,0.586
0.0,0.2879785175904647,-0.4150971317762591,-2,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.3589128574675347, 0.1263219198399892, -0.18138617013864503]","[0.0, 0.0, 0.0, 0.0]","[0.3605265013975622, 0.1262381830740312, -0.18157356253801393]",0.6439732495955752,0.6642399749007881,0.586,0.6439729483360652,0.6643013111996252,0.586
0.0,0.2977767549282969,-0.12741955867560997,-1,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.43369240837126083, 0.14080667443647554, -0.18061946776170645]","[0.0, 0.0, 0.0, 0.0]","[0.435679632781514, 0.14074578053888978, -0.18087424219080303]",0.6368954423820445,0.6559523274077085,0.596,0.636894992793454,0.6560343024503558,0.596
0.0,0.3124741109350454,0.29853688989037797,0,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.5556535141898379, 0.20198871731579204, -0.16211367414072275]","[0.0, 0.0, 0.0, 0.0]","[0.5582975978933905, 0.2021449398416241, -0.1624365061205683]",0.6219696063094509,0.6301192571272592,0.644,0.6219688299304016,0.6301811418584627,0.644
0.0,0.3207019504918803,0.5342275879250135,1,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.6267932917376854, 0.24874714720382196, -0.160139702511647]","[0.0, 0.0, 0.0, 0.0]","[0.6299223455342705, 0.24916314772975415, -0.16052589000050196]",0.6109428445824305,0.6160842500935946,0.678,0.6109417816091883,0.6161257039799317,0.676
